Date,Open,High,Low,Close,Adj Close,Volume
2024-01-02,188.85,191.79,188.56,191.53,191.53,6202017
2024-01-03,191.53,191.92,191.06,191.86,191.86,7631160
2024-01-04,191.86,193.06,191.71,192.51,192.51,6716478
2024-01-05,192.51,194.71,192.31,194.17,194.17,7384246
2024-01-08,194.17,195.37,193.82,194.98,194.98,6634590
2024-01-09,194.98,195.31,193.27,193.47,193.47,7609306
2024-01-10,193.47,193.61,193.09,193.30,193.30,5771337
2024-01-11,193.30,193.43,193.09,193.17,193.17,9183739
2024-01-12,193.17,194.16,192.80,193.08,193.08,7820713
2024-01-15,193.08,195.08,192.51,195.03,195.03,5049554
2024-01-16,195.03,195.28,193.19,193.73,193.73,5063597
2024-01-17,193.73,193.91,190.85,191.58,191.58,5810777
2024-01-18,191.58,192.33,190.34,191.83,191.83,5688001
2024-01-19,191.83,192.47,191.49,192.25,192.25,6390813
2024-01-22,192.25,192.45,190.00,190.05,190.05,5673582
2024-01-23,190.05,190.82,189.66,190.45,190.45,7017614
2024-01-24,190.45,190.89,190.30,190.54,190.54,5020019
2024-01-25,190.54,191.06,190.42,190.92,190.92,9086782
2024-01-26,190.92,191.03,190.71,190.79,190.79,6459924
2024-01-29,190.79,192.77,190.31,192.27,192.27,5239364
2024-01-30,192.27,193.08,191.92,192.84,192.84,5104729
2024-01-31,192.84,193.86,192.42,193.77,193.77,5088274
2024-02-01,193.77,195.12,193.69,194.85,194.85,6665657
2024-02-02,194.85,194.91,194.60,194.73,194.73,7490929
2024-02-05,194.73,196.05,194.39,195.87,195.87,8801223
2024-02-06,195.87,196.37,195.59,196.30,196.30,5158580
2024-02-07,196.30,197.48,195.87,196.85,196.85,7456443
2024-02-08,196.85,197.34,194.53,194.64,194.64,6317627
2024-02-09,194.64,195.24,194.38,194.75,194.75,6310972
2024-02-12,194.75,195.44,194.06,195.00,195.00,5871696
2024-02-13,195.00,196.32,194.86,195.77,195.77,8871497
2024-02-14,195.77,197.51,195.47,196.83,196.83,5762745
2024-02-15,196.83,198.40,196.34,197.99,197.99,6906396
2024-02-16,197.99,198.44,197.28,197.38,197.38,5817056
2024-02-19,197.38,197.84,197.25,197.57,197.57,7120114
2024-02-20,197.57,199.25,197.48,198.64,198.64,5639407
