Date,Open,High,Low,Close,Adj Close,Volume
2024-01-02,197.55,198.65,193.12,194.37,194.37,5827484
2024-01-03,194.37,195.77,194.20,195.60,195.60,10777948
2024-01-04,195.60,196.01,192.41,193.38,193.38,5228256
2024-01-05,193.38,196.20,192.84,196.20,196.20,7227545
2024-01-08,196.20,198.54,195.93,197.96,197.96,5497195
2024-01-09,197.96,199.30,196.44,196.56,196.56,7387141
2024-01-10,196.56,197.92,196.14,197.51,197.51,7276781
2024-01-11,197.51,199.05,197.33,197.79,197.79,9466209
2024-01-12,197.79,197.97,195.65,195.84,195.84,5959248
2024-01-15,195.84,196.06,194.18,195.01,195.01,5894084
2024-01-16,195.01,195.62,194.34,195.24,195.24,5954630
2024-01-17,195.24,198.03,194.64,197.19,197.19,7720060
2024-01-18,197.19,198.67,196.96,198.52,198.52,9756878
2024-01-19,198.52,199.67,195.76,197.27,197.27,6836845
2024-01-22,197.27,197.30,193.72,193.76,193.76,6768090
2024-01-23,193.76,193.97,188.96,189.60,189.60,5330728
2024-01-24,189.60,190.12,187.49,187.53,187.53,7513920
2024-01-25,187.53,189.21,186.80,188.25,188.25,6765228
2024-01-26,188.25,188.96,187.10,187.22,187.22,12091390
2024-01-29,187.22,187.67,187.05,187.40,187.40,10176307
2024-01-30,187.40,188.37,184.69,184.85,184.85,7166789
2024-01-31,184.85,185.52,181.69,182.16,182.16,5735475
2024-02-01,182.16,186.63,182.04,186.60,186.60,9063374
2024-02-02,186.60,189.54,186.24,187.74,187.74,7967487
2024-02-05,187.74,188.08,184.11,184.56,184.56,5745776
2024-02-06,184.56,185.45,183.56,184.59,184.59,7402420
2024-02-07,184.59,184.77,179.82,180.29,180.29,5496662
2024-02-08,180.29,182.32,179.95,180.86,180.86,7564422
2024-02-09,180.86,181.85,179.86,181.52,181.52,6658109
2024-02-12,181.52,182.10,181.36,181.91,181.91,5348948
2024-02-13,181.91,182.34,178.27,178.76,178.76,5786071
2024-02-14,178.76,179.06,176.96,177.47,177.47,7028936
2024-02-15,177.47,178.86,176.98,178.85,178.85,5365068
2024-02-16,178.85,179.67,177.02,177.19,177.19,7328632
2024-02-19,177.19,180.00,177.01,179.38,179.38,9117445
2024-02-20,179.38,180.04,179.32,179.82,179.82,6453209
2024-02-21,179.82,180.33,176.63,177.29,177.29,8531406
2024-02-22,177.29,182.88,176.88,181.86,181.86,5921303
2024-02-23,181.86,182.28,181.27,182.10,182.10,7014488
2024-02-26,182.10,182.89,179.10,180.70,180.70,8367881
2024-02-27,180.70,182.32,180.22,181.51,181.51,6165985
2024-02-28,181.51,181.98,180.13,181.91,181.91,5445089
2024-02-29,181.91,182.27,180.39,181.22,181.22,5850620
2024-03-01,181.22,183.61,180.50,182.58,182.58,6312333
2024-03-04,182.58,183.47,178.84,179.16,179.16,5122615
2024-03-05,179.16,179.96,177.72,178.50,178.50,5589923
2024-03-06,178.50,178.55,176.21,177.50,177.50,5767078
2024-03-07,177.50,181.96,176.57,181.40,181.40,5504262
2024-03-08,181.40,182.05,179.29,179.74,179.74,8118364
2024-03-11,179.74,180.90,179.12,180.65,180.65,6811864
2024-03-12,180.65,182.00,180.05,181.58,181.58,9149031
2024-03-13,181.58,183.61,181.54,182.31,182.31,6048910
2024-03-14,182.31,182.40,179.91,180.30,180.30,5241271
2024-03-15,180.30,181.00,177.86,178.95,178.95,5291102
2024-03-18,178.95,180.39,178.47,180.09,180.09,8746018
