Date,Open,High,Low,Close,Adj Close,Volume
2024-01-02,400.10,405.87,398.60,405.60,405.60,6251642
2024-01-03,405.60,406.75,403.09,404.58,404.58,5055506
2024-01-04,404.58,406.73,401.56,402.15,402.15,8814436
2024-01-05,402.15,402.54,400.76,401.44,401.44,6733667
2024-01-08,401.44,404.50,401.30,403.90,403.90,8940092
2024-01-09,403.90,420.72,402.63,417.09,417.09,7978556
2024-01-10,417.09,418.64,410.38,411.46,411.46,8790697
2024-01-11,411.46,414.31,411.14,413.79,413.79,7569958
2024-01-12,413.79,414.23,408.73,408.78,408.78,5183128
2024-01-15,408.78,409.32,406.29,408.74,408.74,6797376
2024-01-16,408.74,408.94,401.38,403.76,403.76,6196526
2024-01-17,403.76,413.97,402.60,412.40,412.40,11227283
2024-01-18,412.40,413.64,410.59,411.12,411.12,7012128
2024-01-19,411.12,412.53,408.82,410.20,410.20,6590137
2024-01-22,410.20,417.60,409.62,416.18,416.18,6701284
2024-01-23,416.18,418.64,414.57,414.71,414.71,6507405
2024-01-24,414.71,422.31,413.22,420.67,420.67,8530718
2024-01-25,420.67,423.98,420.38,422.45,422.45,6784787
2024-01-26,422.45,425.11,417.41,418.70,418.70,6089391
2024-01-29,418.70,423.49,415.07,423.10,423.10,6629244
2024-01-30,423.10,424.11,418.54,419.02,419.02,9497841
2024-01-31,419.02,423.48,417.69,420.81,420.81,5798527
2024-02-01,420.81,424.02,415.43,417.98,417.98,6061571
2024-02-02,417.98,419.80,413.28,415.65,415.65,7231234
2024-02-05,415.65,424.94,413.03,423.95,423.95,6276936
2024-02-06,423.95,427.84,422.42,427.27,427.27,5361526
2024-02-07,427.27,431.74,425.72,430.69,430.69,6233047
2024-02-08,430.69,432.05,427.64,429.30,429.30,7580608
2024-02-09,429.30,431.06,427.19,428.16,428.16,7407005
2024-02-12,428.16,438.78,426.74,438.54,438.54,5660630
2024-02-13,438.54,439.08,434.40,436.79,436.79,5564949
2024-02-14,436.79,438.83,436.28,437.86,437.86,5862191
2024-02-15,437.86,442.37,432.05,432.15,432.15,7911160
2024-02-16,432.15,437.30,429.83,432.46,432.46,7993842
2024-02-19,432.46,440.17,431.22,437.53,437.53,5763058
2024-02-20,437.53,442.97,437.52,441.14,441.14,7658274
2024-02-21,441.14,442.55,439.31,440.23,440.23,5515267
2024-02-22,440.23,440.70,437.33,437.87,437.87,6322680
2024-02-23,437.87,438.25,432.24,434.94,434.94,6396731
2024-02-26,434.94,436.72,430.15,431.55,431.55,8148789
2024-02-27,431.55,431.97,427.31,430.76,430.76,6563535
2024-02-28,430.76,433.68,430.76,431.93,431.93,5853881
2024-02-29,431.93,433.94,429.76,432.63,432.63,8460045
2024-03-01,432.63,439.41,432.40,438.66,438.66,7973976
2024-03-04,438.66,441.80,438.50,439.04,439.04,10736691
2024-03-05,439.04,440.08,430.21,431.95,431.95,6960503
2024-03-06,431.95,435.85,430.50,434.34,434.34,8103181
2024-03-07,434.34,436.70,432.12,434.00,434.00,6918517
2024-03-08,434.00,437.02,432.00,434.76,434.76,6545846
2024-03-11,434.76,435.42,434.72,435.21,435.21,5090112
2024-03-12,435.21,439.01,435.16,438.64,438.64,8391942
2024-03-13,438.64,440.22,430.92,431.20,431.20,5119463
2024-03-14,431.20,431.53,429.77,430.56,430.56,9707339
2024-03-15,430.56,432.20,428.55,431.63,431.63,8129959
2024-03-18,431.63,435.39,430.02,434.16,434.16,8472309
2024-03-19,434.16,434.83,429.98,433.00,433.00,6520687
2024-03-20,433.00,438.08,432.03,437.04,437.04,5011572
2024-03-21,437.04,437.52,434.49,435.13,435.13,7271304
2024-03-22,435.13,436.26,430.46,431.99,431.99,5731706
2024-03-25,431.99,436.70,429.05,435.79,435.79,7563972
2024-03-26,435.79,439.92,432.84,438.46,438.46,6014707
2024-03-27,438.46,440.33,436.32,436.70,436.70,10084626
2024-03-28,436.70,439.27,436.61,439.18,439.18,7808728
2024-03-29,439.18,447.19,437.58,446.34,446.34,5385723
2024-04-01,446.34,458.52,445.06,456.07,456.07,6154765
2024-04-02,456.07,456.66,451.65,452.05,452.05,7503916
2024-04-03,452.05,454.77,450.80,454.23,454.23,6858366
2024-04-04,454.23,460.83,452.41,460.23,460.23,5897037
2024-04-05,460.23,461.04,451.32,451.58,451.58,7291112
2024-04-08,451.58,456.27,449.61,455.76,455.76,8079598
2024-04-09,455.76,456.58,449.37,450.59,450.59,6664291
2024-04-10,450.59,456.92,449.77,452.85,452.85,10026064
2024-04-11,452.85,455.43,451.80,453.59,453.59,6155361
2024-04-12,453.59,455.31,442.55,443.03,443.03,7407997
2024-04-15,443.03,446.95,440.23,444.91,444.91,8244223
