Date,Open,High,Low,Close,Adj Close,Volume
2024-01-02,472.65,473.19,471.97,472.94,472.94,7874719
2024-01-03,472.94,475.65,471.88,474.46,474.46,5538273
2024-01-04,474.46,479.33,472.61,477.22,477.22,5799735
2024-01-05,477.22,479.15,472.78,473.39,473.39,8891704
2024-01-08,473.39,476.71,472.59,476.45,476.45,8682556
2024-01-09,476.45,476.85,474.25,474.83,474.83,6693855
2024-01-10,474.83,481.12,474.75,480.11,480.11,7135798
2024-01-11,480.11,483.23,479.37,482.77,482.77,5478259
2024-01-12,482.77,489.86,481.77,489.72,489.72,5693513
2024-01-15,489.72,491.47,487.28,488.72,488.72,6873870
2024-01-16,488.72,491.25,488.50,490.95,490.95,7266470
2024-01-17,490.95,496.35,490.53,494.03,494.03,7775400
2024-01-18,494.03,500.07,493.74,499.70,499.70,5293240
2024-01-19,499.70,501.07,496.90,498.06,498.06,6041396
2024-01-22,498.06,500.47,495.26,499.34,499.34,7815156
2024-01-23,499.34,510.03,498.20,508.86,508.86,5597796
2024-01-24,508.86,512.76,508.19,512.61,512.61,8234477
2024-01-25,512.61,513.12,508.46,508.91,508.91,6164828
2024-01-26,508.91,517.86,507.46,516.66,516.66,5676789
2024-01-29,516.66,518.89,510.92,511.51,511.51,9220829
2024-01-30,511.51,513.74,509.87,513.00,513.00,8939885
2024-01-31,513.00,521.10,512.55,516.95,516.95,5053834
2024-02-01,516.95,520.30,511.33,511.95,511.95,5523142
2024-02-02,511.95,516.21,511.28,514.77,514.77,5281737
2024-02-05,514.77,516.74,513.26,516.70,516.70,7554445
2024-02-06,516.70,520.07,514.54,516.90,516.90,6575599
2024-02-07,516.90,519.01,513.37,514.85,514.85,6171588
2024-02-08,514.85,515.29,508.73,509.23,509.23,8365425
2024-02-09,509.23,512.43,508.98,510.28,510.28,7921875
2024-02-12,510.28,517.20,509.77,517.09,517.09,8409271
2024-02-13,517.09,526.18,515.73,523.77,523.77,8072607
2024-02-14,523.77,526.57,517.73,518.29,518.29,10703033
2024-02-15,518.29,520.05,509.35,511.80,511.80,5604600
2024-02-16,511.80,513.06,505.38,506.40,506.40,7005450
2024-02-19,506.40,512.93,505.57,512.34,512.34,6641849
2024-02-20,512.34,513.89,509.35,510.26,510.26,7260449
2024-02-21,510.26,510.98,508.43,510.47,510.47,5188710
2024-02-22,510.47,510.52,507.41,508.43,508.43,6169922
2024-02-23,508.43,510.05,499.83,500.86,500.86,6418610
2024-02-26,500.86,502.20,500.05,500.59,500.59,8708838
2024-02-27,500.59,501.05,499.85,500.36,500.36,8057907
2024-02-28,500.36,503.79,498.53,503.50,503.50,6437875
2024-02-29,503.50,511.83,502.43,508.60,508.60,9400293
2024-03-01,508.60,508.70,505.54,507.88,507.88,6831247
2024-03-04,507.88,512.02,506.15,511.67,511.67,5708395
2024-03-05,511.67,515.87,510.37,515.65,515.65,8551192
2024-03-06,515.65,516.94,512.19,513.32,513.32,5363287
2024-03-07,513.32,524.68,511.10,523.03,523.03,5616487
2024-03-08,523.03,523.92,520.39,522.38,522.38,9081226
2024-03-11,522.38,523.43,514.17,516.77,516.77,5228869
2024-03-12,516.77,520.37,514.38,520.37,520.37,7173766
2024-03-13,520.37,524.97,519.53,524.33,524.33,5706113
2024-03-14,524.33,524.68,521.65,522.28,522.28,5851951
2024-03-15,522.28,530.36,520.63,527.05,527.05,7216254
2024-03-18,527.05,527.25,524.39,526.26,526.26,5442827
2024-03-19,526.26,529.19,524.50,527.64,527.64,7435123
2024-03-20,527.64,527.78,525.49,525.97,525.97,8887693
2024-03-21,525.97,527.02,524.74,526.03,526.03,6881433
2024-03-22,526.03,535.29,525.00,535.08,535.08,5500788
2024-03-25,535.08,535.39,526.15,526.80,526.80,6410222
2024-03-26,526.80,527.49,519.20,519.86,519.86,10503466
2024-03-27,519.86,521.70,515.50,518.70,518.70,5414229
2024-03-28,518.70,520.59,517.44,519.08,519.08,6701660
2024-03-29,519.08,523.45,518.01,521.84,521.84,5207170
2024-04-01,521.84,523.06,521.08,522.59,522.59,5780703
2024-04-02,522.59,523.15,521.77,522.96,522.96,5390446
2024-04-03,522.96,525.19,521.23,521.60,521.60,8254982
2024-04-04,521.60,530.08,521.16,528.57,528.57,7019744
2024-04-05,528.57,529.04,525.63,526.05,526.05,6588539
2024-04-08,526.05,529.73,523.44,529.40,529.40,8101042
2024-04-09,529.40,532.27,529.04,532.00,532.00,7865263
2024-04-10,532.00,533.08,529.50,530.97,530.97,7642157
2024-04-11,530.97,531.27,524.15,525.16,525.16,5083937
2024-04-12,525.16,527.24,522.14,523.88,523.88,7512826
